spellchecker: disable
Loading repository data...
Reading installed packages...

S  | Name                                          | Summary                                                                            | Type
---+-----------------------------------------------+------------------------------------------------------------------------------------+--------
i  | aaa_base                                      | openSUSE Base Package                                                              | package
i  | aaa_base-extras                               | SUSE Linux Base Package (recommended part)                                         | package
i  | aardvark-dns                                  | Authoritative dns server for A/AAAA container records                              | package
i  | accountsservice                               | D-Bus Service to Manipulate User Account Information                               | package
i  | acl                                           | Commands for Manipulating POSIX Access Control Lists                               | package
i  | acpica                                        | A set of tools to display and debug BIOS ACPI tables                               | package
i  | adobe-sourcecodepro-fonts                     | A set of OpenType fonts designed for coding environments                           | package
i  | adobe-sourcesans3-fonts                       | A set of OpenType fonts designed for user interfaces                               | package
i  | adobe-sourcesanspro-fonts                     | A set of OpenType fonts designed for user interfaces                               | package
i  | adobe-sourceserifpro-fonts                    | A set of OpenType fonts designed for user interfaces                               | package
i  | adwaita-fonts                                 | Adwaita Fonts                                                                      | package
i  | adwaita-icon-theme                            | GNOME Icon Theme                                                                   | package
i  | alsa                                          | Advanced Linux Sound Architecture                                                  | package
i  | alsa-oss                                      | LD_PRELOAD-able library that translates OSS into ALSA calls                        | package
i  | alsa-plugins                                  | Extra Plug-Ins for ALSA Library                                                    | package
i  | alsa-plugins-speexrate                        | Rate Converter Plug-In for ALSA Library using Speex                                | package
i  | alsa-plugins-upmix                            | PCM Up-mix Plug-In for ALSA Library                                                | package
i  | alsa-ucm-conf                                 | ALSA UCM Profiles                                                                  | package
i  | alsa-utils                                    | Advanced Linux Sound Architecture Utilities                                        | package
i  | alts                                          | Helper for executing preferred application based on user preferences               | package
i  | apache-commons-logging                        | Apache Commons Logging                                                             | package
i  | appstream-glib                                | AppStream Abstraction Library                                                      | package
i  | argyllcms                                     | ICC compatible color management system                                             | package
i  | at-spi2-core                                  | Assistive Technology Service Provider Interface - D-Bus based implementation       | package
i  | attr                                          | Commands for Manipulating Extended Attributes                                      | package
i  | audit                                         | User Space Tools for Kernel Auditing                                               | package
i  | audit-rules                                   | Rules and utilities for audit                                                      | package
i  | augeas                                        | An utility for changing configuration files                                        | package
i  | augeas-bash-completion                        | Bash completion for augeas                                                         | package
i  | augeas-lenses                                 | Official set of lenses for use by libaugeas                                        | package
i  | autoyast2-installation                        | YaST2 - Auto Installation Modules                                                  | package
i  | avahi                                         | D-Bus Service for Zeroconf and Bonjour                                             | package
i  | baobab                                        | Disk Usage Analyzer                                                                | package
i+ | base                                          | Base System                                                                        | pattern
i  | bash                                          | The GNU Bourne-Again Shell                                                         | package
i  | bash-completion                               | Programmable Completion for Bash                                                   | package
i  | bash-doc                                      | Documentation how to Use the GNU Bourne-Again Shell                                | package
i  | bash-loadables                                | Loadable bash builtins                                                             | package
i  | bash-sh                                       | Handle behaviour of /bin/sh                                                        | package
i  | bc                                            | GNU Command Line Calculator                                                        | package
i  | bind-utils                                    | Libraries for "bind" and utilities to query and test DNS                           | package
i  | blog                                          | Boot logging                                                                       | package
i  | bluez                                         | Bluetooth Stack for Linux                                                          | package
i  | bluez-auto-enable-devices                     | Configuration that automatically enables all bluetooth devices                     | package
i  | bluez-cups                                    | CUPS Driver for Bluetooth Printers                                                 | package
i  | bluez-obexd                                   | Object Exchange daemon for sharing binary objects                                  | package
i  | bluez-zsh-completion                          | Zsh completion for bluez                                                           | package
i  | bolt                                          | Thunderbolt 3 device manager                                                       | package
i  | boost-license1_89_0                           | Boost License                                                                      | package
i  | branding-openSUSE                             | openSUSE Tumbleweed Brand File                                                     | package
i+ | brave-browser                                 | Brave Web Browser                                                                  | package
i  | brave-keyring                                 | Brave Browser keyring and repository files                                         | package
i  | brltty                                        | Braille display driver for Linux/Unix                                              | package
i  | brltty-driver-at-spi2                         | AT-SPI 2 driver for BRLTTY                                                         | package
i  | brltty-driver-brlapi                          | BrlAPI driver for BRLTTY                                                           | package
i  | brltty-driver-speech-dispatcher               | Speech Dispatcher driver for BRLTTY                                                | package
i  | brltty-driver-xwindow                         | XWindow driver for BRLTTY                                                          | package
i  | btrfsmaintenance                              | Scripts for btrfs periodic maintenance tasks                                       | package
i+ | btrfsprogs                                    | Utilities for the Btrfs filesystem                                                 | package
i  | btrfsprogs-bash-completion                    | Bash completion for btrfsprogs                                                     | package
i  | btrfsprogs-udev-rules                         | Udev rules for configuring btrfs file systems                                      | package
i  | bubblewrap                                    | Core execution tool for unprivileged containers                                    | package
i  | bubblewrap-zsh-completion                     | Zsh tab-completion for bubblewrap                                                  | package
